feature,group,cluster_auto,cluster_tax_k
rsi_short_raw,component,2,2
rsi_short_position,component,2,2
rsi_short_velocity,component,2,2
rsi_short_acceleration,component,2,2
rsi_long_raw,component,2,2
rsi_long_position,component,2,2
rsi_long_velocity,component,2,2
rsi_long_acceleration,component,2,2
rsi_contrast_raw_short_minus_long,component,2,2
rsi_contrast_position_short_minus_long,component,2,2
rsi_contrast_velocity_short_minus_long,component,2,2
rsi_contrast_acceleration_short_minus_long,component,2,2
cci_short_raw,component,2,2
cci_short_position,component,2,2
cci_short_velocity,component,2,2
cci_short_acceleration,component,2,2
cci_long_raw,component,2,2
cci_long_position,component,2,2
cci_long_velocity,component,2,2
cci_long_acceleration,component,2,2
cci_contrast_raw_short_minus_long,component,1,1
cci_contrast_position_short_minus_long,component,1,1
cci_contrast_velocity_short_minus_long,component,1,1
cci_contrast_acceleration_short_minus_long,component,1,1
