feature,group,cluster_auto,cluster_tax_k
momentum__rsi_short_raw,momentum,1,2
momentum__rsi_short_position,momentum,1,2
momentum__rsi_short_velocity,momentum,1,2
momentum__rsi_short_acceleration,momentum,1,2
momentum__rsi_long_raw,momentum,1,2
momentum__rsi_long_position,momentum,1,2
momentum__rsi_long_velocity,momentum,1,2
momentum__rsi_long_acceleration,momentum,1,2
momentum__rsi_contrast_raw_short_minus_long,momentum,1,2
momentum__rsi_contrast_position_short_minus_long,momentum,1,2
momentum__rsi_contrast_velocity_short_minus_long,momentum,1,2
momentum__rsi_contrast_acceleration_short_minus_long,momentum,1,2
trend__rel6,trend,1,2
trend__rel104,trend,1,2
trend__rel12,trend,1,2
trend__rel52,trend,1,2
trend__rel26,trend,1,2
trend__vel6_12,trend,1,2
trend__vel12_26,trend,1,2
trend__vel26_52,trend,1,2
trend__vel52_104,trend,1,2
trend__acc6_12,trend,1,1
trend__acc12_26,trend,1,2
trend__acc26_52,trend,1,2
trend__acc52_104,trend,1,2
trend__adx,trend,2,3
trend__plus_di,trend,1,2
trend__minus_di,trend,2,5
volatility__vol7,volatility,2,3
volatility__vol_park7,volatility,2,3
volatility__vol_rs7,volatility,2,3
volatility__vol20,volatility,2,3
volatility__vol_park20,volatility,2,3
volatility__vol_rs20,volatility,2,3
volatility__vol100,volatility,2,3
volatility__vol_park100,volatility,2,3
volatility__vol_rs100,volatility,2,3
volatility__bb_bandwidth,volatility,2,3
volatility__atr_norm,volatility,2,3
volume__price_zvel12_26,volume,1,2
volume__obv_zvel12_26,volume,1,2
volume__ad_zvel12_26,volume,1,2
volume__price_zvel26_52,volume,1,2
volume__obv_zvel26_52,volume,1,2
volume__ad_zvel26_52,volume,1,2
volume__mfi_20_raw,volume,1,2
volume__cmf_20_raw,volume,1,2
volume__mfi_20_ema4,volume,1,2
volume__mfi_20_ema8,volume,1,2
volume__mfi_20_ema16,volume,1,2
volume__cmf_20_ema4,volume,1,2
volume__cmf_20_ema8,volume,1,2
volume__cmf_20_ema16,volume,1,2
volume__mfi_20_vel4_8,volume,1,2
volume__mfi_20_vel8_16,volume,1,2
volume__cmf_20_vel4_8,volume,1,2
volume__cmf_20_vel8_16,volume,1,2
candle__body_size,candle,2,4
candle__body_log,candle,1,1
candle__range_log,candle,2,3
candle__skew_log,candle,1,1
candle__gap_log,candle,1,1
