feature,group,max_abs_corr_global,global_partner,mean_abs_corr_global,max_abs_corr_sector,sector_partner,mean_abs_corr_sector
volume__ad_zvel26_52,volume,0.03425846055033657,volume__price_zvel26_52,0.008253064899670783,0.08651798760216743,volume__obv_zvel26_52,0.029229358578561997
momentum__cmf_long_raw,momentum,0.02707665970590037,trend__velocity_52/104,0.00669524955871913,0.06241400333040736,trend__rel_104,0.020759389669321164
trend__velocity_12/26,trend,0.02279182099614881,trend__velocity_52/104,0.004482199189913265,0.07629050378425797,volume__obv_zvel26_52,0.017464690415804035
volatility__vol_rs100,volatility,0.021493071216779777,volume__ad_zvel26_52,0.0032736282122839836,0.137945196094125,trend__velocity_52/104,0.023136307237779742
trend__rel_26,trend,0.02126214046974953,trend__velocity_52/104,0.004378826125276576,0.06250937216427761,volume__obv_zvel26_52,0.019387007396453843
trend__rel_52,trend,0.0211580314405562,trend__velocity_52/104,0.004552528986402583,0.07256399363192091,volume__ad_zvel26_52,0.022261727753775683
trend__velocity_52/104,trend,0.019592645854292243,volatility__vol100,0.005611447577737605,0.05698840428156053,trend__velocity_26/52,0.02350280095709566
trend__rel_104,trend,0.01958647330356167,volatility__vol100,0.007447543801708941,0.0826154086500247,volume__obv_zvel26_52,0.03127407634476156
momentum__willr_long_raw,momentum,0.019424130075687746,trend__velocity_52/104,0.003482719905501771,0.06108632176822323,volume__obv_zvel26_52,0.01912523085883731
momentum__mfi_long_raw,momentum,0.01940210857918221,trend__velocity_52/104,0.002944010879173875,0.07181997849116353,volume__obv_zvel26_52,0.017767069971055937
volatility__vol_park100,volatility,0.018691652048974695,volume__ad_zvel26_52,0.0028828146180999415,0.13218834410154726,trend__velocity_52/104,0.02078692343065981
volume__ad_zvel12_26,volume,0.017622787676548884,volume__price_zvel26_52,0.0056227415664808055,0.07884380586128659,momentum__cmf_long_velocity,0.026942145849403493
volatility__atr_norm,volatility,0.017226092013248148,momentum__rsi_long_raw,0.007133924842989484,0.11103562046637151,trend__rel_104,0.03911421455196343
volatility__vol_rs20,volatility,0.01681959896235063,momentum__cmf_long_raw,0.006309295691040854,0.0999943831394159,trend__velocity_52/104,0.021329456094096352
candle__range_log,candle,0.016683216083146785,volatility__vol100,0.003492315641362818,0.08432313730071397,volatility__vol_rs100,0.014835212283811034
momentum__cmf_short_raw,momentum,0.01661830640690738,trend__velocity_52/104,0.005099217644653138,0.0544922964905193,volume__ad_zvel26_52,0.019523274834657448
volatility__vol7,volatility,0.01661188062814128,trend__adx,0.0027115593568893446,0.06981426783666517,volatility__vol_rs100,0.015396894173472573
