feature,group,cluster_auto,cluster_tax_k
momentum__rsi_short_raw,momentum,2,3
momentum__rsi_short_velocity,momentum,2,3
momentum__rsi_short_acceleration,momentum,2,3
momentum__rsi_long_raw,momentum,2,3
momentum__rsi_long_velocity,momentum,2,3
momentum__rsi_long_acceleration,momentum,2,3
momentum__cci_short_raw,momentum,2,3
momentum__cci_short_velocity,momentum,2,3
momentum__cci_short_acceleration,momentum,2,3
momentum__cci_long_raw,momentum,2,3
momentum__cci_long_velocity,momentum,2,3
momentum__cci_long_acceleration,momentum,2,3
momentum__willr_short_raw,momentum,2,3
momentum__willr_short_velocity,momentum,2,3
momentum__willr_short_acceleration,momentum,2,3
momentum__willr_long_raw,momentum,2,3
momentum__willr_long_velocity,momentum,2,3
momentum__willr_long_acceleration,momentum,2,3
momentum__mfi_short_raw,momentum,2,3
momentum__mfi_short_velocity,momentum,2,3
momentum__mfi_short_acceleration,momentum,2,3
momentum__mfi_long_raw,momentum,2,3
momentum__mfi_long_velocity,momentum,2,3
momentum__mfi_long_acceleration,momentum,2,3
momentum__cmf_short_raw,momentum,2,3
momentum__cmf_short_velocity,momentum,2,3
momentum__cmf_short_acceleration,momentum,2,3
momentum__cmf_long_raw,momentum,2,3
momentum__cmf_long_velocity,momentum,2,3
momentum__cmf_long_acceleration,momentum,2,3
trend__velocity_12/26,trend,2,3
trend__acceleration_12/26,trend,2,3
trend__velocity_26/52,trend,2,3
trend__acceleration_26/52,trend,2,3
trend__velocity_52/104,trend,2,3
trend__acceleration_52/104,trend,2,3
trend__rel_12,trend,2,3
trend__rel_26,trend,2,3
trend__rel_52,trend,2,3
trend__rel_104,trend,2,3
trend__adx,trend,1,1
trend__plus_di,trend,2,3
trend__minus_di,trend,1,1
volatility__vol7,volatility,1,1
volatility__vol_park7,volatility,1,1
volatility__vol_rs7,volatility,1,1
volatility__vol20,volatility,1,1
volatility__vol_park20,volatility,1,1
volatility__vol_rs20,volatility,1,1
volatility__vol100,volatility,1,1
volatility__vol_park100,volatility,1,1
volatility__vol_rs100,volatility,1,1
volatility__bb_bandwidth,volatility,1,1
volatility__atr_norm,volatility,1,1
volume__price_zvel12_26,volume,2,3
volume__obv_zvel12_26,volume,2,3
volume__ad_zvel12_26,volume,2,3
volume__price_zvel26_52,volume,2,3
volume__obv_zvel26_52,volume,2,3
volume__ad_zvel26_52,volume,2,3
candle__body_size,candle,1,2
candle__body_log,candle,2,3
candle__range_log,candle,1,1
candle__skew_log,candle,2,5
candle__gap_log,candle,2,4
