feature,representation,n,t,q,mean_corr,n_signal,lam_plus,noise_var,top_eig_share
log_return,base,250,1324,5.296,0.2279486119218047,64,0.8358049885424446,0.4061457423776237,0.2518314502876137
log_return,global_removed,250,1324,5.296,-0.0031983703196885203,50,1.2149063198737706,0.5903638240600686,0.061127257513199786
log_return,sector_removed,250,1324,5.296,-0.0038618177529257144,50,1.3224019874550677,0.6425995827725413,0.043079570980151256
price_vel,base,250,1324,5.296,0.18860778558640143,192,0.01534380410638167,0.007456070249773037,0.21781085955695811
price_vel,global_removed,250,1324,5.296,-0.0023000639329481603,192,0.019678112822094418,0.009562256567357527,0.07426234871075868
price_vel,sector_removed,250,1324,5.296,-0.003465776120506823,249,-2.2317067408773363e-15,-1.0844613318513872e-15,0.05201178174450634
obv_vel,base,250,1324,5.296,0.11068521122347741,184,0.025629891359965327,0.01245442584831179,0.13310144086887377
obv_vel,global_removed,250,1324,5.296,-0.0023149867402557627,186,0.028062858238804333,0.013636686247247011,0.0488720841090675
obv_vel,sector_removed,250,1324,5.296,-0.002866386676110971,214,0.012828388094399765,0.006233745045233927,0.03892655196230599
rsi,base,250,1324,5.296,0.22583574323106975,151,0.11097214262614594,0.053925094810370056,0.24948970234776457
rsi,global_removed,250,1324,5.296,-0.00307451370804004,150,0.15179745842179176,0.07376348823817079,0.06312743178937107
rsi,sector_removed,250,1324,5.296,-0.0037872074683646807,155,0.14879993596581303,0.07230689130483572,0.053187549324234175
cci,base,250,1324,5.296,0.20949132860459338,138,0.24228994207046625,0.11773682825756869,0.23353533658057854
cci,global_removed,250,1324,5.296,-0.002987031331937266,135,0.3304082805675319,0.16055649133278616,0.05515054874373704
cci,sector_removed,250,1324,5.296,-0.0037754887362434373,150,0.29390186765632353,0.1428167980112335,0.04606385867156977
willr,base,250,1324,5.296,0.22324439958329462,129,0.2843907077717699,0.13819500567314177,0.24367289285470628
willr,global_removed,250,1324,5.296,-0.003211704646605915,130,0.3771376549868711,0.18326386533097405,0.05564724221385833
willr,sector_removed,250,1324,5.296,-0.003850863501085721,134,0.38277902334461494,0.18600519586990416,0.04664993761509759
mfi,base,250,1324,5.296,0.1478259837858547,151,0.08260435572658245,0.04014023347563976,0.1687044719950169
mfi,global_removed,250,1324,5.296,-0.0029244519596264185,150,0.09970546939787668,0.048450239520978426,0.05245261140690952
mfi,sector_removed,250,1324,5.296,-0.0035038587325032147,162,0.08559877445349594,0.04159532220267956,0.04548778070516932
cmf,base,250,1324,5.296,0.1476460040140118,143,0.0954623878755028,0.04638838356355158,0.167735875885282
cmf,global_removed,250,1324,5.296,-0.003377246427133022,144,0.11274325495694582,0.05478573783390754,0.05340011200846205
cmf,sector_removed,250,1324,5.296,-0.003719825953483622,157,0.09746974973314643,0.047363828174518736,0.049180574999615055
