feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
momentum__cmf_long_velocity,-0.016663784071043942,0.11416088364220284,-0.14596754632060063,2553,121.57142857142857,-1.6094299086769401,0.11013756698495272
trend__acceleration_52/104,-0.021686601449914463,0.15121390501875934,-0.14341671453577012,2553,121.57142857142857,-1.5813045817121842,0.1164281826257456
volume__ad_zvel12_26,-0.015143177053118274,0.10807263373467088,-0.1401203665517793,2553,121.57142857142857,-1.5449592353076527,0.12497682648144111
trend__velocity_12/26,-0.020752550354391518,0.14940551734428142,-0.13890082992430958,2553,121.57142857142857,-1.5315126934396006,0.12826234456436436
trend__rel_26,-0.02106708325485249,0.15207408932589553,-0.138531707460734,2553,121.57142857142857,-1.5274427700366393,0.12927007757294728
trend__plus_di,-0.01775240039314038,0.13009056217369194,-0.13646186238658922,2553,121.57142857142857,-1.504620775335574,0.13503669824592007
volume__price_zvel26_52,-0.016941024977386768,0.1326341293333746,-0.1277274941414639,2553,121.57142857142857,-1.4083161251482819,0.16161083647631028
trend__rel_52,-0.018932065666640737,0.1521644806860422,-0.12441842919769742,2553,121.57142857142857,-1.3718305622646334,0.1726634035493585
trend__minus_di,0.017715250381045183,0.14266632294095397,0.12417261492312438,2553,121.57142857142857,1.3691202279783488,0.173506745045428
trend__rel_12,-0.019138248790578304,0.15478531421103223,-0.12364382815081199,2553,121.57142857142857,-1.3632898549391042,0.17533146829958848
volume__obv_zvel26_52,-0.013982964722735972,0.11468449792179534,-0.12192549975037702,2553,121.57142857142857,-1.34434366319786,0.18136114231412
momentum__rsi_long_raw,-0.016954403782627758,0.1438893138076378,-0.11782948527570085,2553,121.57142857142857,-1.2991812393023565,0.19636057632231152
momentum__willr_long_raw,-0.016684510609170013,0.1430730390436951,-0.1166153366189034,2553,121.57142857142857,-1.285794104894152,0.2009788717881323
momentum__stochastic_long_raw,-0.01668171186599021,0.14306955787447204,-0.1165986119886286,2553,121.57142857142857,-1.2856097000668163,0.20104304334544765
momentum__cci_long_raw,-0.01616129558215155,0.13992279380193595,-0.11550152153928721,2553,121.57142857142857,-1.273513242832304,0.20528564857291806
momentum__cmf_short_raw,-0.014041224751288422,0.12495713168069734,-0.11236833434339649,2553,121.57142857142857,-1.238966898047727,0.21776423815925428
momentum__rsi_short_raw,-0.015859243757959315,0.14237681836354407,-0.11138922712449173,2553,121.57142857142857,-1.2281713172379642,0.22177474909329586
trend__acceleration_26/52,-0.016442892164237968,0.14925900884064902,-0.1101634822042308,2553,121.57142857142857,-1.2146563230847858,0.2268706748996691
momentum__cmf_long_raw,-0.014008824402086199,0.12811131963878897,-0.10934884162917224,2553,121.57142857142857,-1.205674142186565,0.2303039148598659
momentum__cmf_short_velocity,-0.012120103154161791,0.11500654923069305,-0.10538619961416221,2553,121.57142857142857,-1.161982275486762,0.24753764942792209
volume__price_zvel12_26,-0.013572462773146348,0.12975721140772128,-0.10459890919279351,2553,121.57142857142857,-1.1533016558359894,0.25106776815023063
momentum__mfi_long_raw,-0.012715432905640013,0.12880928633775127,-0.09871518791198666,2553,121.57142857142857,-1.0884280778226205,0.278577003134162
volatility__vol_rs20,-0.019303334197803394,0.1958717476838009,-0.0985508855976774,2553,121.57142857142857,-1.0866164897992567,0.2793739139761811
momentum__stochastic_short_raw,-0.013582509787789764,0.14249940492455335,-0.09531625619756838,2553,121.57142857142857,-1.0509516490093251,0.29538262767230056
momentum__willr_short_raw,-0.01358255983563352,0.14250039634692102,-0.09531594426282447,2553,121.57142857142857,-1.0509482096344842,0.2953842009037432
volume__ad_zvel26_52,-0.010596211009154314,0.11293233809509672,-0.09382796095332395,2553,121.57142857142857,-1.0345417898357825,0.30295348463569866
momentum__cci_short_raw,-0.01318186088136682,0.14313551456139992,-0.09209357245655676,2553,121.57142857142857,-1.0154185203808626,0.3119396613678884
volume__obv_zvel12_26,-0.010027083647468966,0.11216659582710291,-0.08939456148713852,2553,121.57142857142857,-0.9856593781090041,0.3262741066606607
volatility__vol_rs100,-0.017850354163171774,0.20349715294624338,-0.08771795528700686,2553,121.57142857142857,-0.9671732129881736,0.33539346755078936
momentum__stochastic_long_velocity,-0.011897356446212684,0.1359250472846941,-0.0875288012318565,2553,121.57142857142857,-0.9650876110761027,0.33643264562508607
momentum__willr_long_velocity,-0.011897356446212684,0.1359250472846941,-0.0875288012318565,2553,121.57142857142857,-0.9650876110761027,0.33643264562508607
volatility__vol_rs7,-0.016311568418428297,0.18913013433854298,-0.08624521140153471,2553,121.57142857142857,-0.9509348222167487,0.343539784559658
volatility__vol_park100,-0.017390486895432065,0.20539072220384916,-0.08467026508710604,2553,121.57142857142857,-0.9335695532450096,0.35239179597884496
momentum__mfi_short_raw,-0.010564576172795595,0.12863137870446995,-0.08213063001577293,2553,121.57142857142857,-0.9055676806099037,0.36697076668840084
momentum__rsi_long_velocity,-0.010418088517797339,0.13063000617996895,-0.07975264506566997,2553,121.57142857142857,-0.8793481530672994,0.38096172378625315
volatility__vol_park20,-0.015753818128018533,0.1987466291900121,-0.07926583807847662,2553,121.57142857142857,-0.8739806467640757,0.38386625120317114
volatility__bb_bandwidth,-0.013361121736791654,0.1724554865149996,-0.07747577074406124,2553,121.57142857142857,-0.854243465594873,0.3946641882728451
momentum__stochastic_short_velocity,-0.010242199043448221,0.14010842533036733,-0.07310194957439373,2553,121.57142857142857,-0.8060179607952914,0.4218193499050445
momentum__willr_short_velocity,-0.010242199043448221,0.14010842533036733,-0.07310194957439373,2553,121.57142857142857,-0.8060179607952914,0.4218193499050445
candle__range_log,-0.012261143915554941,0.17042852852161502,-0.0719430251608368,2553,121.57142857142857,-0.793239725769146,0.4291963952298476
volatility__vol_park7,-0.013323177246203537,0.19198317012058014,-0.06939763124984112,2553,121.57142857142857,-0.7651743564936851,0.44566288759957096
trend__rel_104,-0.011029737269955662,0.1608457350919477,-0.06857338967458787,2553,121.57142857142857,-0.7560863155104246,0.45107214734522394
momentum__mfi_long_velocity,-0.007978982689730902,0.118699370032083,-0.06722009297584544,2553,121.57142857142857,-0.7411649426630246,0.4600345307335337
trend__velocity_26/52,-0.010046573714728039,0.15742590150303584,-0.06381779376079544,2553,121.57142857142857,-0.7036513839782559,0.4830065503789908
volatility__atr_norm,-0.013061420830757654,0.20682974602359036,-0.06315059164298306,2553,121.57142857142857,-0.6962948511693715,0.48758431283651155
volatility__vol100,-0.01306102216743004,0.20803567637814474,-0.0627826072663091,2553,121.57142857142857,-0.6922374762482085,0.4901192120898677
momentum__cci_long_velocity,-0.008475617518334443,0.13578028521266336,-0.06242156219556958,2553,121.57142857142857,-0.6882566137217376,0.49261326846699677
momentum__rsi_short_velocity,-0.008179907743754164,0.13611250918425877,-0.06009666409632363,2553,121.57142857142857,-0.6626224187936798,0.5088370894400112
volatility__vol20,-0.011446352323939746,0.19454084717567363,-0.058837783890205324,2553,121.57142857142857,-0.6487420768530258,0.5177388345120794
momentum__mfi_short_velocity,-0.007078615103047067,0.12456101248596983,-0.056828496828768,2553,121.57142857142857,-0.626587791374443,0.5321140351884511
trend__acceleration_12/26,-0.007830967352510126,0.14968468466362417,-0.05231642348786789,2553,121.57142857142857,-0.5768379259554637,0.5651243655343864
