feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
trend__rel_52,-0.048118804395668936,0.14558038932691836,-0.33053081268804924,2553,121.57142857142857,-3.6444140433178234,0.00039659407699191686
trend__velocity_12/26,-0.04598616396579682,0.1405844131265222,-0.3271071304641042,2553,121.57142857142857,-3.6066647167865664,0.0004523857944212702
trend__rel_104,-0.05024187854065039,0.15749840471468124,-0.3189992853049329,2553,121.57142857142857,-3.5172680747040093,0.0006155044153343258
trend__rel_26,-0.04438599059881514,0.14416224950298717,-0.30788913707881216,2553,121.57142857142857,-3.3947682088387627,0.0009303735550910912
trend__velocity_26/52,-0.041484455543563836,0.1545673888133824,-0.2683907379301741,2553,121.57142857142857,-2.959261094160997,0.0037131391121796795
momentum__willr_long_raw,-0.03681782665694832,0.1389120983987356,-0.2650440608223037,2553,121.57142857142857,-2.922360821683574,0.004149173479989171
momentum__stochastic_long_raw,-0.03681782665694832,0.1389120983987356,-0.2650440608223037,2553,121.57142857142857,-2.922360821683574,0.004149173479989171
momentum__rsi_long_raw,-0.0361984404387151,0.13899572115460856,-0.26042845159564754,2553,121.57142857142857,-2.871469375445039,0.00482787886477399
trend__acceleration_52/104,-0.035244825297093524,0.1429132586922969,-0.246616903285218,2553,121.57142857142857,-2.719184025062297,0.0075107910581297494
trend__plus_di,-0.032609520031208795,0.13426991008922018,-0.2428654343295553,2553,121.57142857142857,-2.677820540569275,0.008443536606128229
trend__rel_12,-0.035353958307308614,0.1474935768517069,-0.23969829101679607,2553,121.57142857142857,-2.6428997975609274,0.009311321941155944
momentum__cci_long_raw,-0.03272635440362629,0.13819947211280734,-0.2368052055720801,2553,121.57142857142857,-2.61100080110279,0.0101735864230258
trend__velocity_52/104,-0.03892736340641631,0.16967539856582634,-0.2294225546864666,2553,121.57142857142857,-2.5296001100578813,0.012709045533549729
momentum__cmf_long_raw,-0.027456029706151273,0.11979748534704701,-0.22918702864765983,2553,121.57142857142857,-2.5270032132771734,0.012798530392892535
momentum__rsi_short_raw,-0.03089728218510329,0.14017484701583197,-0.22041958912652576,2553,121.57142857142857,-2.4303339210713757,0.016557893011269125
momentum__cmf_short_raw,-0.025616359581071703,0.11898851382821382,-0.215284305660415,2553,121.57142857142857,-2.3737125760654116,0.019190006545489205
momentum__mfi_long_raw,-0.026220187924982943,0.1257484526554289,-0.20851300649265642,2553,121.57142857142857,-2.2990526144787866,0.02322317537581407
momentum__willr_short_raw,-0.028818922085698428,0.14116708304454556,-0.20414760625608847,2553,121.57142857142857,-2.2509199584112074,0.026202456271518345
momentum__stochastic_short_raw,-0.028818922085698428,0.14116708304454556,-0.20414760625608847,2553,121.57142857142857,-2.2509199584112074,0.026202456271518345
trend__acceleration_26/52,-0.027903323754876468,0.14279909370541566,-0.19540266699758638,2553,121.57142857142857,-2.154498752828401,0.03319000435677362
volume__price_zvel26_52,-0.02492186768195238,0.13168087008251267,-0.18925959151345267,2553,121.57142857142857,-2.0867655500402313,0.039016524842404365
trend__minus_di,0.026259320079179763,0.13954670032717875,0.18817585810064028,2553,121.57142857142857,2.07481636673491,0.04013090128868219
momentum__mfi_short_raw,-0.022394724517863927,0.12610689831794644,-0.17758524566516043,2553,121.57142857142857,-1.958044873108305,0.052534418198560404
momentum__cci_short_raw,-0.025091774573409158,0.14194631801903937,-0.17676946414378694,2553,121.57142857142857,-1.9490501122005568,0.053611880382169214
volume__price_zvel12_26,-0.021660109692623802,0.13166703023466322,-0.16450670797404732,2553,121.57142857142857,-1.813841656349393,0.07218899141430155
volume__ad_zvel12_26,-0.01554385043513205,0.10741654908107612,-0.14470629123823206,2553,121.57142857142857,-1.5955233814850922,0.11321312098984053
momentum__cmf_long_velocity,-0.016016232555188397,0.11382969833216434,-0.140703461309822,2553,121.57142857142857,-1.5513884051254796,0.12342958120738785
volatility__atr_norm,0.020770500597191557,0.1496390523191862,0.1388040105525878,2553,121.57142857142857,1.530445168523849,0.1285260688552848
volume__obv_zvel12_26,-0.014819459778617506,0.1107000233750215,-0.13387043043715732,2553,121.57142857142857,-1.4760477932525833,0.14253793856986208
