feature,base,global_removed,sector_removed
candle__body_log,-0.04558088516392336,-0.08042017090750966,-0.06938291810787735
candle__body_size,0.020691191933081894,0.012026049734628055,0.030934631658421495
candle__gap_log,-0.017901692770579295,-0.03888154497030323,-0.04870352404883393
candle__range_log,-0.0719430251608368,0.06584298465180487,0.10255974802207979
candle__skew_log,0.021805569741192566,0.03098136649759743,0.0201595515336459
momentum__cci_long_acceleration,0.01564886204682854,0.010453383107221666,0.014007419782372051
momentum__cci_long_raw,-0.11550152153928721,-0.2368052055720801,-0.24239734291279205
momentum__cci_long_velocity,-0.06242156219556958,-0.08162253156775809,-0.07366507633289453
momentum__cci_short_acceleration,0.01637021644186788,0.006599124113482337,0.01569537357244946
momentum__cci_short_raw,-0.09209357245655676,-0.17676946414378694,-0.17236779110302874
momentum__cci_short_velocity,-0.04595088066402414,-0.06081491026362585,-0.05899208770088886
momentum__cmf_long_acceleration,-0.03658982064315201,-0.05735285192386683,-0.06774501297266383
momentum__cmf_long_raw,-0.10934884162917224,-0.22918702864765983,-0.27342449171355676
momentum__cmf_long_velocity,-0.14596754632060063,-0.140703461309822,-0.13628353934334442
momentum__cmf_short_acceleration,-0.02151002753658609,-0.03595209177775901,-0.003415479363703571
momentum__cmf_short_raw,-0.11236833434339649,-0.215284305660415,-0.228085045622978
momentum__cmf_short_velocity,-0.10538619961416221,-0.11220159250358211,-0.09436683721804812
momentum__mfi_long_acceleration,-0.03462515420805801,-0.051302364140362246,-0.091029462928269
momentum__mfi_long_raw,-0.09871518791198666,-0.20851300649265642,-0.19576218822734556
momentum__mfi_long_velocity,-0.06722009297584544,-0.10022586121499909,-0.04930614011100966
momentum__mfi_short_acceleration,2.5008216116232944e-05,-0.0018912092782748494,-0.004055615744210098
momentum__mfi_short_raw,-0.08213063001577293,-0.17758524566516043,-0.15278195726603958
momentum__mfi_short_velocity,-0.056828496828768,-0.08039740339636134,-0.06621377755305251
momentum__rsi_long_acceleration,-0.027274275368598236,-0.035191752025005615,-0.07847105128920842
momentum__rsi_long_raw,-0.11782948527570085,-0.26042845159564754,-0.2595897098289855
momentum__rsi_long_velocity,-0.07975264506566997,-0.10799589575430213,-0.10513613387435568
momentum__rsi_short_acceleration,0.013298745778113996,0.00458374614526774,0.0067607934972452825
momentum__rsi_short_raw,-0.11138922712449173,-0.22041958912652576,-0.22141507448334397
momentum__rsi_short_velocity,-0.06009666409632363,-0.08070615445713138,-0.08086374771722743
momentum__stochastic_long_acceleration,0.00924553517735364,0.003161722574352575,-0.022721797556852042
momentum__stochastic_long_raw,-0.1165986119886286,-0.2650440608223037,-0.27940881471653123
momentum__stochastic_long_velocity,-0.0875288012318565,-0.11057451214535681,-0.10746066661590009
momentum__stochastic_short_acceleration,-0.0013408780304643353,-0.011548715408751185,-0.005296005533489722
momentum__stochastic_short_raw,-0.09531625619756838,-0.20414760625608847,-0.2208937568801163
momentum__stochastic_short_velocity,-0.07310194957439373,-0.08850668293758213,-0.09024054261592439
momentum__willr_long_acceleration,0.00924553517735364,0.003161722574352575,-0.022721797556852042
momentum__willr_long_raw,-0.1166153366189034,-0.2650440608223037,-0.27940881471653123
momentum__willr_long_velocity,-0.0875288012318565,-0.11057451214535681,-0.10746066661590009
momentum__willr_short_acceleration,-0.0013408780304643353,-0.011548715408751185,-0.005296005533489722
momentum__willr_short_raw,-0.09531594426282447,-0.20414760625608847,-0.2208937568801163
momentum__willr_short_velocity,-0.07310194957439373,-0.08850668293758213,-0.09024054261592439
trend__acceleration_12/26,-0.05231642348786789,-0.09968275260058418,-0.13392598839661643
trend__acceleration_26/52,-0.1101634822042308,-0.19540266699758638,-0.20460513248590523
trend__acceleration_52/104,-0.14341671453577012,-0.246616903285218,-0.2477627584080416
trend__adx,-0.007861323803514822,-0.022619114503508016,-0.00810303992816316
trend__minus_di,0.12417261492312438,0.18817585810064028,0.20627071008907677
trend__plus_di,-0.13646186238658922,-0.2428654343295553,-0.25267914404109443
trend__rel_104,-0.06857338967458787,-0.3189992853049329,-0.4947216445119738
