feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
trend__velocity_52/104,-0.06588303251728315,0.1310711354116737,-0.502650963618763,2553,121.57142857142857,-5.54220109103217,1.786561581628377e-07
trend__rel_104,-0.06434215169346587,0.13005728050758164,-0.4947216445119738,2553,121.57142857142857,-5.454772867104364,2.6550150590803165e-07
trend__rel_52,-0.050479213247461956,0.12323619316683913,-0.40961353925565025,2553,121.57142857142857,-4.516375712921189,1.4761330417957697e-05
trend__velocity_26/52,-0.04850286880949168,0.12656090442785772,-0.38323737514960077,2553,121.57142857142857,-4.225553619527844,4.6574870525304136e-05
trend__velocity_12/26,-0.041167371445727914,0.11800220738994244,-0.34886950300589625,2553,121.57142857142857,-3.8466154053841644,0.00019286030679048277
trend__rel_26,-0.04175549892513065,0.11976143795422826,-0.348655624367914,2553,121.57142857142857,-3.844257191620403,0.0001945184455863715
momentum__stochastic_long_raw,-0.032418064677575784,0.11602377222946562,-0.27940881471653123,2553,121.57142857142857,-3.0807457855396834,0.00255834518938688
momentum__willr_long_raw,-0.032418064677575784,0.11602377222946562,-0.27940881471653123,2553,121.57142857142857,-3.0807457855396834,0.00255834518938688
momentum__cmf_long_raw,-0.0279628198212629,0.10226889202945702,-0.27342449171355676,2553,121.57142857142857,-3.014762978628506,0.0031361970989023185
trend__rel_12,-0.03222656842918466,0.1201898542571585,-0.268130522566677,2553,121.57142857142857,-2.9563919742828726,0.003745466866701679
momentum__rsi_long_raw,-0.0303641690995477,0.11696984876461876,-0.2595897098289855,2553,121.57142857142857,-2.8622214561715484,0.004961624926407208
trend__plus_di,-0.028527668486977176,0.1129007643081836,-0.25267914404109443,2553,121.57142857142857,-2.7860259487093404,0.00619956833933638
trend__acceleration_52/104,-0.02899863584918542,0.11704194785169221,-0.2477627584080416,2553,121.57142857142857,-2.7318181588281174,0.0072451402917182986
momentum__cci_long_raw,-0.02803730766124554,0.11566672853890397,-0.24239734291279205,2553,121.57142857142857,-2.672659391086917,0.008567000806278416
momentum__cmf_short_raw,-0.02332955688786957,0.1022844650956778,-0.228085045622978,2553,121.57142857142857,-2.5148528107837187,0.013224757073147995
volume__price_zvel26_52,-0.024106385891823203,0.10717617667670638,-0.2249229879186619,2553,121.57142857142857,-2.4799881414063836,0.014519181178679957
momentum__rsi_short_raw,-0.025304346178374758,0.11428465851939222,-0.22141507448334397,2553,121.57142857142857,-2.441310086303298,0.01608650111340345
momentum__willr_short_raw,-0.02570701063507241,0.1163772620745644,-0.2208937568801163,2553,121.57142857142857,-2.4355620678998675,0.016331849696386416
momentum__stochastic_short_raw,-0.02570701063507241,0.1163772620745644,-0.2208937568801163,2553,121.57142857142857,-2.4355620678998675,0.016331849696386416
trend__minus_di,0.02430088653983605,0.11781065052494297,0.20627071008907677,2553,121.57142857142857,2.274329181174554,0.024714088513665376
trend__acceleration_26/52,-0.023336049397147233,0.11405407632555258,-0.20460513248590523,2553,121.57142857142857,-2.2559646167399428,0.025875244403441668
momentum__mfi_long_raw,-0.020750832330556662,0.10600020626280487,-0.19576218822734556,2553,121.57142857142857,-2.158462813570423,0.03287368403125436
volume__ad_zvel12_26,-0.017406545215901043,0.1009172804012068,-0.17248329668318024,2553,121.57142857142857,-1.9017910722387077,0.05958449823060819
momentum__cci_short_raw,-0.020002600953124124,0.11604604796013221,-0.17236779110302874,2553,121.57142857142857,-1.9005175142458468,0.05975289129163613
volatility__vol20,0.020387774145941596,0.12044454320896891,0.16927104875618323,2553,121.57142857142857,1.86637300830524,0.06441872815167536
volatility__atr_norm,0.02160178839248137,0.12998034392244612,0.16619273145922941,2553,121.57142857142857,1.8324316559224754,0.06935474598223271
volume__ad_zvel26_52,-0.015824754466516995,0.09604299697368623,-0.16476739549113242,2553,121.57142857142857,-1.8167159821662702,0.07174459278032382
momentum__mfi_short_raw,-0.01612969967211445,0.10557332790303091,-0.15278195726603958,2553,121.57142857142857,-1.6845652182855329,0.09465938356102414
volume__obv_zvel26_52,-0.015606301614263797,0.10241350986032845,-0.15238518468459555,2553,121.57142857142857,-1.6801904262470586,0.09550944351419324
volatility__vol7,0.017444535206013932,0.11606257856363783,0.15030284025999807,2553,121.57142857142857,1.6572306144149618,0.10007271577936756
volume__obv_zvel12_26,-0.014390050550224664,0.09683976984892172,-0.1485964967974869,2553,121.57142857142857,-1.6384165679213047,0.10394184414330374
volatility__vol100,0.018113553661923788,0.12242218258894469,0.147959734738135,2553,121.57142857142857,1.6313956654750805,0.1054161783895426
volume__price_zvel12_26,-0.015238030242526799,0.10831919601211253,-0.1406770988294895,2553,121.57142857142857,-1.5510977339085994,0.12349920587015073
volatility__vol_rs100,0.01771164551633873,0.1292781527794769,0.13700416609874766,2553,121.57142857142857,1.5106001853889384,0.13350671712860745
