feature,group,cluster_auto,cluster_tax_k
momentum__rsi_short_raw,momentum,2,4
momentum__rsi_short_position,momentum,2,4
momentum__rsi_short_velocity,momentum,2,4
momentum__rsi_short_acceleration,momentum,2,4
momentum__rsi_long_raw,momentum,2,4
momentum__rsi_long_position,momentum,2,4
momentum__rsi_long_velocity,momentum,2,4
momentum__rsi_long_acceleration,momentum,2,4
momentum__rsi_contrast_raw_short_minus_long,momentum,2,4
momentum__rsi_contrast_position_short_minus_long,momentum,2,4
momentum__rsi_contrast_velocity_short_minus_long,momentum,2,4
momentum__rsi_contrast_acceleration_short_minus_long,momentum,2,4
trend__rel6,trend,2,4
trend__rel104,trend,2,4
trend__rel12,trend,2,4
trend__rel52,trend,2,4
trend__rel26,trend,2,4
trend__vel6_12,trend,2,4
trend__vel12_26,trend,2,4
trend__vel26_52,trend,2,4
trend__vel52_104,trend,2,4
trend__acc6_12,trend,2,4
trend__acc12_26,trend,2,4
trend__acc26_52,trend,2,4
trend__acc52_104,trend,2,4
trend__adx,trend,1,1
trend__plus_di,trend,2,4
trend__minus_di,trend,1,3
volatility__vol7,volatility,1,1
volatility__vol_park7,volatility,1,1
volatility__vol_rs7,volatility,1,1
volatility__vol20,volatility,1,1
volatility__vol_park20,volatility,1,1
volatility__vol_rs20,volatility,1,1
volatility__vol100,volatility,1,1
volatility__vol_park100,volatility,1,1
volatility__vol_rs100,volatility,1,1
volatility__bb_bandwidth,volatility,1,1
volatility__atr_norm,volatility,1,1
volume__price_zvel12_26,volume,2,4
volume__obv_zvel12_26,volume,2,4
volume__ad_zvel12_26,volume,2,4
volume__price_zvel26_52,volume,2,4
volume__obv_zvel26_52,volume,2,4
volume__ad_zvel26_52,volume,2,4
volume__mfi_20_raw,volume,2,4
volume__cmf_20_raw,volume,2,4
volume__mfi_20_ema4,volume,2,4
volume__mfi_20_ema8,volume,2,4
volume__mfi_20_ema16,volume,2,4
volume__cmf_20_ema4,volume,2,4
volume__cmf_20_ema8,volume,2,4
volume__cmf_20_ema16,volume,2,4
volume__mfi_20_vel4_8,volume,2,4
volume__mfi_20_vel8_16,volume,2,4
volume__cmf_20_vel4_8,volume,2,4
volume__cmf_20_vel8_16,volume,2,4
candle__body_size,candle,1,2
candle__body_log,candle,2,4
candle__range_log,candle,1,1
candle__skew_log,candle,2,5
candle__gap_log,candle,2,4
