group,panel,grouping,market_mean_corr,size,mean_corr,top_eig,top_eig_share,n_signal,sigma2,lam_plus,p_mean_corr,null_mean_mean_corr,null_std_mean_corr,p_top_eig_share,null_mean_top_eig_share,null_std_top_eig_share,p_n_signal,null_mean_n_signal,null_std_n_signal
Basic Materials,raw,sector,0.24624803464773662,32,0.32338430426296766,11.321156917558007,0.3537861537027498,26,0.1808046761208674,0.24022374549117836,0.006644518272425249,0.2453009521749256,0.025941532516251344,0.016611295681063124,0.28662658922359774,0.0259408518185904,0.19933554817275748,20.526666666666667,4.820103756452286
Communication Services,raw,sector,0.24624803464773662,29,0.19815023465963885,6.938072920734841,0.23924389383536232,15,0.5431625257471097,0.7125136984301874,0.973421926910299,0.24511321670800879,0.025647338405558398,0.9867109634551495,0.2894106082967229,0.025267850754793375,0.8604651162790697,19.13,4.237091354197205
Consumer Cyclical,raw,sector,0.24624803464773662,53,0.3522359351956367,19.860241001318293,0.3747215283565732,29,0.3539087701485159,0.5066371839838882,0.0033222591362126247,0.2444581447625141,0.018042723317041796,0.0033222591362126247,0.27737993239262515,0.018409764202521585,0.4584717607973422,28.246666666666666,5.426846022142977
Consumer Defensive,raw,sector,0.24624803464773662,24,0.21547841889107322,6.14455278658496,0.25602303280175004,17,0.43590927848438793,0.5587936962958807,0.8737541528239202,0.24673316745790544,0.02750168162965202,0.920265780730897,0.2953564822046953,0.027527101573538985,0.4485049833887043,16.053333333333335,3.6121064860332814
Energy,raw,sector,0.24624803464773662,29,0.3890308017583138,12.42285903503549,0.42837444951828985,23,0.2001032590753087,0.26249291221917637,0.0033222591362126247,0.24511321670800879,0.025647338405558398,0.0033222591362126247,0.2894106082967229,0.025267850754793375,0.26578073089701,19.13,4.237091354197205
Financial Services,raw,sector,0.24624803464773662,117,0.4310539659266053,54.58484248017683,0.4665371152635816,52,0.2257528809694418,0.3767920646769905,0.0033222591362126247,0.24610220126315188,0.011411333344475904,0.0033222591362126247,0.2725023812493356,0.011840148962082521,0.019933554817275746,42.78333333333333,4.000383203494998
Healthcare,raw,sector,0.24624803464773662,70,0.16642218916911589,13.263323168110801,0.18947604527241205,14,0.6609138689187288,0.993071107667126,1.0,0.24495981765166874,0.015500621151438037,1.0,0.27545004224789066,0.015767603625290033,1.0,33.473333333333336,5.411120305947777
Industrials,raw,sector,0.24624803464773662,77,0.32712194469965655,27.17513368535679,0.35292381412801016,32,0.398705126756231,0.6099042321929167,0.0033222591362126247,0.24589081582465358,0.014688926782836138,0.0033222591362126247,0.27534652281752414,0.015092050568954815,0.7740863787375415,35.41,5.148812247356513
Real Estate,raw,sector,0.24624803464773662,44,0.439224720475746,20.327350788737455,0.4619852452498264,31,0.20769846221931823,0.2887170569109945,0.0033222591362126247,0.24671800823497672,0.02055813054111092,0.0033222591362126247,0.2822905098035488,0.020663848340481336,0.2159468438538206,26.166666666666668,5.622359407453199
Technology,raw,sector,0.24624803464773662,80,0.3176958182627301,27.003688798187895,0.33754611000190976,32,0.39691787794275,0.6116647205579242,0.0033222591362126247,0.24570114161327303,0.014853404585694216,0.0033222591362126247,0.27492704387051825,0.015183195524495777,0.8006644518272426,35.723333333333336,4.9963319879020585
Utilities,raw,sector,0.24624803464773662,15,0.2988791480412046,5.491746222906476,0.36611641490347024,13,0.2603666896941138,0.3176396173901083,0.06312292358803986,0.24074510623235384,0.037039843738123086,0.06312292358803986,0.3065216153642881,0.035606204032339356,0.2724252491694352,10.283333333333333,2.4432807777149543
cap_large,raw,cap,0.24624803464773662,190,0.25902503085111545,53.869572749366085,0.28352406713093276,59,0.36310389160968926,0.6834997542406208,0.046511627906976744,0.2461223038497097,0.008077936487009997,0.04318936877076412,0.2703565213153731,0.008519479435065064,0.2059800664451827,55.29333333333334,3.8984546576751042
cap_mid,raw,cap,0.24624803464773662,190,0.27291721748451164,56.328610203900936,0.2964663695192842,61,0.37464954920859495,0.705233077164852,0.0033222591362126247,0.2461223038497097,0.008077936487009997,0.0033222591362126247,0.2703565213153731,0.008519479435065064,0.10963455149501661,55.29333333333334,3.8984546576751042
cap_small,raw,cap,0.24624803464773662,190,0.23546694232606435,49.762408324779315,0.2619074122563891,46,0.476048033272455,0.8961036256207706,0.9069767441860465,0.2461223038497097,0.008077936487009997,0.8438538205980066,0.2703565213153731,0.008519479435065064,0.9966777408637874,55.29333333333334,3.8984546576751042
Basic Materials,kalman,sector,0.19736278252063896,32,0.19341141268905737,10.05939021150991,0.3143559442348582,30,0.023607747894241346,0.03136612251098524,0.4950166112956811,0.19368042652699521,0.040318371444934414,0.4152823920265781,0.3052928666175249,0.04659036896014218,0.6877076411960132,29.883333333333333,0.9412804675640595
