panel,labels,k_requested,k,ari,p
unaligned,sector,auto,2,0.00014383955724814378,0.5297351324337831
unaligned,sector,11,11,0.03864537361078771,0.0004997501249375312
unaligned,cap,auto,2,-4.975371909050202e-05,1.0
unaligned,cap,3,3,-0.00015002250337550632,1.0
aligned,sector,auto,2,0.00014383955724814378,0.5297351324337831
aligned,sector,11,11,0.03864537361078771,0.0004997501249375312
aligned,cap,auto,2,-4.975371909050202e-05,1.0
aligned,cap,3,3,-0.00015002250337550632,1.0
minus_global_pc1,sector,auto,7,0.2429828431322891,0.0004997501249375312
minus_global_pc1,sector,11,11,0.2704227111687929,0.0004997501249375312
minus_global_pc1,cap,auto,7,0.004920693221217591,0.19740129935032483
minus_global_pc1,cap,3,3,0.0040243197552379175,0.2063968015992004
