ticker,shift,sector,cap_bucket,market_cap
AA,0,Basic Materials,large,14280000000.0
AAP,0,Consumer Cyclical,mid,3750000000.0
ACIW,0,Technology,mid,5010000000.0
ACMR,0,Technology,mid,7220000000.0
ADC,0,Real Estate,large,9260000000.0
ADSK,0,Technology,large,41440000000.0
AER,0,Industrials,large,23470000000.0
AES,0,Utilities,large,10460000000.0
AIG,0,Financial Services,large,40070000000.0
AIV,0,Real Estate,small,454190000.0
ALLT,0,Technology,small,382090000.0
ALNT,0,Technology,small,1660000000.0
AMC,0,Communication Services,mid,1930000000.0
AN,0,Consumer Cyclical,mid,6410000000.0
ANF,0,Consumer Cyclical,mid,4070000000.0000005
APH,0,Technology,large,201410000000.0
APPN,0,Technology,small,1610000000.0
AROC,0,Energy,mid,7350000000.0
ASA,0,Financial Services,small,1000000000.0
ATNI,0,Communication Services,small,402550000.0
ATRC,0,Healthcare,small,1530000000.0
ATRO,0,Industrials,mid,3630000000.0
BABA,0,Consumer Cyclical,large,216610000000.0
BAH,0,Industrials,large,7450000000.0
BCC,0,Basic Materials,mid,2850000000.0
BEN,0,Financial Services,large,17260000000.0
BHC,0,Healthcare,small,1780000000.0
BHF,0,Financial Services,mid,3630000000.0
BKD,0,Healthcare,mid,3750000000.0
BNS,0,Financial Services,large,105890000000.0
BRSL,0,Consumer Cyclical,mid,2060000000.0
BXC,0,Industrials,small,508030000.0
CACC,0,Financial Services,mid,6580000000.0
CALY,0,Consumer Cyclical,mid,3460000000.0
CAMT,0,Technology,mid,7080000000.0
CARG,0,Consumer Cyclical,mid,2980000000.0
CAT,0,Industrials,large,459430000000.0
CBU,0,Financial Services,mid,3550000000.0
CBZ,0,Industrials,small,1650000000.0
CCEP,0,Consumer Defensive,large,44640000000.0
CCJ,0,Energy,large,45060000000.0
CECO,0,Industrials,mid,5370000000.0
CELH,0,Consumer Defensive,large,7630000000.0
CL,0,Consumer Defensive,large,73670000000.0
CMBT,0,Energy,mid,4139999999.9999995
CNC,0,Healthcare,large,32460000000.0
CNK,0,Communication Services,mid,3860000000.0
CRMD,0,Healthcare,small,615850000.0
CSR,0,Real Estate,small,1010000000.0
CUBI,0,Financial Services,mid,2740000000.0
CUZ,0,Real Estate,mid,4930000000.0
CVBF,0,Financial Services,mid,3960000000.0
DAKT,0,Technology,small,943000000.0
DBI,0,Consumer Cyclical,small,316850000.0
DBVT,0,Healthcare,small,969960000.0
DCH,0,Consumer Cyclical,small,1290000000.0
DCOM,0,Financial Services,small,1790000000.0
DEA,0,Real Estate,small,1280000000.0
DKS,0,Consumer Cyclical,large,21410000000.0
DNN,0,Energy,mid,2800000000.0
DRH,0,Real Estate,mid,2560000000.0
EEX,0,Communication Services,small,991530000.0
EMR,0,Industrials,large,80370000000.0
ENPH,0,Technology,mid,6270000000.0
EQT,0,Energy,large,32960000000.0
ERIC,0,Technology,large,36500000000.0
ETD,0,Consumer Cyclical,small,573310000.0
