,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
Basic Materials,0.09332694283487242,-0.016617169440201703,-0.006910748089200498,-0.017111037844241287,0.07980501836571191,-0.04297745705179148,-0.008024485317113918,0.007227499721968071,-0.031598042942043714,0.0011992091183860298,0.005680848776711145
Communication Services,-0.016617169440201703,0.034737647478326104,0.007969257970244286,0.005862703363371187,-0.017503275604291605,-0.01425115796640236,0.007678663263256425,-0.013902438758481442,-0.009237936097019221,0.00350644830311549,-0.016556917577253055
Consumer Cyclical,-0.006910748089200498,0.007969257970244286,0.05716087859603905,0.018059177227025283,-0.05388092610094529,-0.03943267508225728,-0.001223636929691755,-0.0003203279504992036,-0.016947583952784163,0.0032844581893891676,-0.026445544224368317
Consumer Defensive,-0.01711103784424129,0.005862703363371189,0.01805917722702528,0.13037924646678933,-0.03364818405200677,-0.026929683910967398,0.006568362673823864,-0.010724733391275922,0.04337681588547532,-0.019487409445978456,0.06799416129119436
Energy,0.07980501836571191,-0.017503275604291605,-0.053880926100945296,-0.03364818405200677,0.2763688492118522,-0.02121318255039588,-0.015389615225505918,-0.009562155230664037,-0.05098136793374929,-0.025523020488659443,0.0071293901058446015
Financial Services,-0.04297745705179148,-0.014251157966402356,-0.039432675082257285,-0.026929683910967398,-0.021213182550395882,0.09576075781245834,-0.03590146304558291,-0.013556859782237286,-0.017199340231567137,-0.060409540477560586,-0.017208197056354593
Healthcare,-0.008024485317113915,0.007678663263256425,-0.001223636929691755,0.006568362673823865,-0.015389615225505922,-0.03590146304558291,0.05680225560479219,-0.011629968129141924,-0.011778496841568939,0.02275822531459554,0.0017811028669773269
Industrials,0.007227499721968074,-0.013902438758481439,-0.0003203279504992027,-0.010724733391275925,-0.009562155230664037,-0.013556859782237286,-0.011629968129141924,0.03387950204322986,-0.043316411917789226,-0.0019043004516749416,-0.023730719175573043
Real Estate,-0.031598042942043714,-0.009237936097019221,-0.01694758395278416,0.043376815885475324,-0.05098136793374929,-0.017199340231567137,-0.011778496841568939,-0.04331641191778923,0.21803190276335896,-0.04923792923756235,0.07590956026629328
Technology,0.0011992091183860288,0.0035064483031154886,0.0032844581893891668,-0.01948740944597846,-0.025523020488659447,-0.06040954047756057,0.02275822531459554,-0.0019043004516749416,-0.04923792923756236,0.08383841963152878,-0.027322687679590865
Utilities,0.005680848776711144,-0.016556917577253052,-0.026445544224368317,0.06799416129119436,0.007129390105844603,-0.017208197056354593,0.0017811028669773277,-0.023730719175573043,0.07590956026629328,-0.027322687679590865,0.14606986881516323
