,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
Basic Materials,-0.11021456269772129,-0.00014822902383922684,-1.613490513915783e-05,0.00018744418491250853,1.1916649377136102e-06,-7.110178496875677e-05,5.89575518360313e-05,0.0001171209398701184,-8.555443070784272e-06,3.3268825786305365e-05,-1.8196586165343995e-05
Communication Services,-0.00014822902383922616,-0.08796156507193732,1.6596863322021438e-05,-0.0002867580367260295,9.979771140842144e-05,7.053348466790288e-05,-8.306101422509081e-06,-0.00013630685782007324,-6.384601244060133e-07,2.6789986767092815e-05,6.102478394290808e-05
Consumer Cyclical,-1.6134905139157383e-05,1.659686332202153e-05,-0.04112567680330724,3.111700714959063e-05,1.2035628345241832e-05,8.909924675920494e-05,7.780967879763446e-05,0.00011477128206443163,-6.610527029777084e-07,1.692996837422977e-05,1.658855667939103e-06
Consumer Defensive,0.00018744418491250798,-0.00028675803672603,3.111700714959075e-05,-0.16306893094515382,-3.420052002902844e-08,0.00025253308914483907,-0.00033219556814580604,0.0002098060473050328,-1.1999445233996405e-05,-7.293587390507322e-05,4.35802775443859e-06
Energy,1.1916649377138084e-06,9.979771140842144e-05,1.2035628345241832e-05,-3.4200520029524083e-08,-0.07651374612338852,5.66609470656172e-05,-1.8236163879015138e-05,1.1704180777374498e-05,-8.050583402269646e-06,-2.008769959634481e-06,1.2067229993296263e-05
Financial Services,-7.110178496875666e-05,7.053348466790241e-05,8.909924675920471e-05,0.0002525330891448406,5.666094706561629e-05,-0.027008830122230033,-7.134182147167103e-05,5.0936534021628304e-05,-1.315332345963881e-05,1.803296832397905e-05,8.046536804082583e-05
Healthcare,5.895755183603124e-05,-8.306101422509502e-06,7.780967879763408e-05,-0.00033219556814580614,-1.823616387901478e-05,-7.13418214716709e-05,-0.04469594661427363,0.00012418608924376955,4.923975509049924e-06,8.19971884230397e-05,-3.129971259707846e-05
Industrials,0.00011712093987011784,-0.00013630685782007243,0.00011477128206443155,0.00020980604730503268,1.170418077737559e-05,5.093653402162827e-05,0.00012418608924376907,-0.051710838869979625,-8.663155663196827e-06,0.00011307155114995574,-6.8315426608771965e-06
Real Estate,-8.55544307078455e-06,-6.384601244061964e-07,-6.610527029783005e-07,-1.1999445233997462e-05,-8.050583402270232e-06,-1.3153323459638435e-05,4.923975509049703e-06,-8.663155663197059e-06,-0.07139636757048896,3.4087769730856953e-06,-5.183041211127837e-06
Technology,3.326882578630591e-05,2.6789986767092306e-05,1.6929968374229908e-05,-7.293587390507247e-05,-2.0087699596352558e-06,1.803296832397916e-05,8.19971884230393e-05,0.00011307155114995589,3.4087769730863314e-06,-0.03187719362486216,-6.191247082694013e-06
Utilities,-1.819658616534538e-05,6.102478394290673e-05,1.6588556679383627e-06,4.358027754436442e-06,1.206722999329552e-05,8.046536804082482e-05,-3.129971259707898e-05,-6.8315426608770805e-06,-5.183041211127374e-06,-6.191247082693435e-06,-0.1989807065372612
