,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
Basic Materials,0.30838185150940506,0.18166895380377954,0.24741325713524298,0.12827886112635722,0.2742586512097729,0.26486428593283795,0.1538553102802043,0.2730316914652358,0.26892561066607507,0.23254047402035685,0.1934071158606621
Communication Services,0.18166895380377954,0.18613693465022685,0.21378797896733137,0.12230149871907477,0.15691386534703997,0.22894484155359765,0.13653814807652598,0.2125860407982149,0.2303788486640212,0.19191314424578598,0.14026619931451023
Consumer Cyclical,0.24741325713524298,0.21378797896733137,0.31218184262699356,0.16870397069618787,0.18378537731134684,0.2875509014905486,0.16985631674168844,0.2900686665424482,0.29979783438654856,0.2504414948279852,0.1816053468053542
Consumer Defensive,0.12827886112635722,0.12230149871907477,0.16870397069618784,0.20347820502735253,0.0978944070629804,0.159194969222835,0.10120389304896849,0.15695996088566125,0.21249586374844565,0.12318614543024245,0.17435844189295463
Energy,0.2742586512097729,0.15691386534703997,0.1837853773113469,0.0978944070629804,0.40492939376708503,0.24387879878446833,0.12785447129903862,0.231693357820335,0.21874603888303942,0.18461624330614196,0.17175134611360907
Financial Services,0.2648642859328379,0.2289448415535977,0.2875509014905486,0.15919496922283502,0.24387879878446836,0.40624600974721514,0.17158157193531504,0.3246334848557165,0.34707746753579183,0.24587525344184225,0.22081791033562473
Healthcare,0.1538553102802043,0.136538148076526,0.16985631674168847,0.10120389304896849,0.12785447129903862,0.17158157193531504,0.156225894165946,0.17450625010235238,0.18666197460874773,0.17394619790759958,0.1278088666077561
Industrials,0.2730316914652358,0.2125860407982149,0.2900686665424482,0.15695996088566128,0.231693357820335,0.3246334848557165,0.17450625010235238,0.33011519459002603,0.30542858652570776,0.26297534142455675,0.1982540790646965
Real Estate,0.26892561066607507,0.2303788486640211,0.29979783438654856,0.21249586374844565,0.21874603888303942,0.3470774675357918,0.18666197460874773,0.30542858652570776,0.4975931287455284,0.24910746992811703,0.28869300922403973
Technology,0.23254047402035688,0.19191314424578598,0.2504414948279852,0.12318614543024246,0.18461624330614196,0.24587525344184225,0.17394619790759955,0.2629753414245568,0.24910746992811703,0.28860627062770383,0.16146880361097157
Utilities,0.19340711586066206,0.14026619931451023,0.1816053468053542,0.17435844189295463,0.1717513461136091,0.22081791033562473,0.1278088666077561,0.1982540790646965,0.28869300922403973,0.16146880361097157,0.27111567069059256
