sector,corr_sectorA_sectorB,delta_k (sector-mode loading on global B)
Healthcare,0.9476293702612576,0.8468344532753176
Basic Materials,0.881026992637294,0.8309372237017395
Technology,0.9578186961290633,0.8304812573330829
Industrials,0.8309614149919344,0.9333460960102086
Consumer Cyclical,0.9035774729295414,0.916073100859515
Real Estate,0.9503009523999645,0.8558389972153547
Utilities,0.9893291012975287,0.6246693925081337
Financial Services,0.9220889310474264,0.8563576361248563
Communication Services,0.8791968206359863,0.8759706810101306
Energy,0.9922025065040833,0.6376476585790826
Consumer Defensive,0.969149938374474,0.7281673603379821
