ticker,sector,pipeline,global,sector_specific,idio
A,Healthcare,A,0.3393810515915525,0.11064200662069826,0.5499769417877493
AA,Basic Materials,A,0.3034482620132108,0.10868711486981944,0.5878646231169697
AAOI,Technology,A,0.10007366736581888,0.135677037035138,0.7642492955990431
AAON,Industrials,A,0.21276022206889636,0.12205717204671486,0.6651826058843888
AAP,Consumer Cyclical,A,0.15528942733701223,0.06096123763391396,0.7837493350290738
AAT,Real Estate,A,0.4581558713301962,0.1547188437741083,0.38712528489569553
ABBV,Healthcare,A,0.06471069672055053,0.044102326596728345,0.8911869766827212
ABEO,Healthcare,A,0.03837341067563537,0.06186802394330712,0.8997585653810575
ACAD,Healthcare,A,0.10086183773949398,0.09957879274084099,0.799559369519665
ACHC,Healthcare,A,0.11300983323468673,0.014274521545558309,0.872715645219755
ACIW,Technology,A,0.351718684680645,0.0010913721382958537,0.6471899431810592
ACM,Industrials,A,0.43391419471770953,0.02845486887036763,0.5376309364119228
ACMR,Technology,A,0.18400257734251158,0.16803134622735044,0.647966076430138
ACN,Technology,A,0.26656758388084806,0.008451931729414231,0.7249804843897376
ADC,Real Estate,A,0.1525976686109031,0.4282671051286019,0.41913522626049504
ADP,Technology,A,0.27436332639974637,0.0017323911076149467,0.7239042824926387
ADSK,Technology,A,0.31512809738075864,0.09114638733617697,0.5937255152830644
AEHR,Technology,A,0.15215681318300764,0.1232736262876647,0.7245695605293276
AEM,Basic Materials,A,0.06871104688434161,0.704653530019303,0.22663542309635543
AER,Industrials,A,0.4083876967040542,0.010536770646906961,0.5810755326490388
AES,Utilities,A,0.24605640052578726,0.07025214757327283,0.6836914519009399
AFG,Financial Services,A,0.31125640693609957,0.029334467580971503,0.659409125482929
AFL,Financial Services,A,0.3138939374105034,0.017591247294358646,0.6685148152951379
AGI,Basic Materials,A,0.0672962351417561,0.6953115858887589,0.23739217896948506
AGO,Financial Services,A,0.3352126605288888,0.02827871001359037,0.6365086294575208
AGX,Industrials,A,0.09236578587149714,0.10935406705589495,0.798280147072608
AHRT,Real Estate,A,0.41595825895988237,0.11729837436033078,0.4667433666797869
AIG,Financial Services,A,0.3727801045986166,0.02446226853429953,0.6027576268670839
AIR,Industrials,A,0.41169565321372986,0.08704480199783232,0.5012595447884378
AIV,Real Estate,A,0.3498011147307204,0.14161256725837085,0.5085863180109087
AJG,Financial Services,A,0.170840153761553,0.00665399258064392,0.822505853657803
ALB,Basic Materials,A,0.2784501747933924,0.02985485279413598,0.6916949724124716
ALLT,Technology,A,0.10637165528966,0.046007718385330555,0.8476206263250095
ALLY,Financial Services,A,0.535445868448788,0.008005042011682428,0.4565490895395295
ALNT,Technology,A,0.2928349394647225,0.01709632457758251,0.690068735957695
ALNY,Healthcare,A,0.0778389289003878,0.17874920185662435,0.7434118692429879
ALRM,Technology,A,0.31618665865366125,0.053182945688259584,0.6306303956580792
ALSN,Consumer Cyclical,A,0.35949612887915827,2.136001503927188e-05,0.6404825111058025
ALV,Consumer Cyclical,A,0.4466764374329312,0.03798621173239676,0.515337350834672
AMAT,Technology,A,0.31128599052022177,0.36132998326987914,0.3273840262098991
AMBA,Technology,A,0.31675393306144806,0.18643364211391497,0.49681242482463694
AMC,Communication Services,A,0.037811664151143606,0.08819704031769353,0.873991295531163
AMD,Technology,A,0.22613074118829768,0.3207791178127136,0.4530901409989887
AMH,Real Estate,A,0.2891573442617668,0.27123060369164376,0.4396120520465895
AMN,Healthcare,A,0.12455906961003166,0.002065202928425266,0.8733757274615431
AMPH,Healthcare,A,0.08661891794135615,0.02845464682427011,0.8849264352343738
AMRN,Healthcare,A,0.09008093744355354,0.07423656186216614,0.8356825006942804
AMT,Real Estate,A,0.11953643697366564,0.2856781151592258,0.5947854478671085
AN,Consumer Cyclical,A,0.3606083711730156,0.0860568038193013,0.5533348250076832
ANAB,Healthcare,A,0.05744556294073317,0.12287884896671139,0.8196755880925554
ANET,Technology,A,0.1682126793336062,0.2600271827847572,0.5717601378816366
ANF,Consumer Cyclical,A,0.17556414672415346,0.12117425552263482,0.7032615977532117
AON,Financial Services,A,0.15708193773532236,0.008519468029555683,0.834398594235122
AORT,Healthcare,A,0.18096241139716415,0.04711785665749224,0.7719197319453436
AOS,Industrials,A,0.39685196254100924,0.05986501104249812,0.5432830264164927
APAM,Financial Services,A,0.5728856881936131,9.50338318424924e-06,0.4271048084232027
APD,Basic Materials,A,0.23368561525384687,0.005077966002123291,0.7612364187440298
APH,Technology,A,0.34542638914963303,0.15032548145327151,0.5042481293970955
APO,Financial Services,A,0.41720906159614657,0.009671229005944998,0.5731197093979085
APPF,Technology,A,0.1461615081962769,0.028145902473025244,0.8256925893306978
APPN,Technology,A,0.15660512027406026,0.1016466106473426,0.7417482690785971
AQN,Utilities,A,0.17304209930781778,0.17463167842231972,0.6523262222698625
ARCC,Financial Services,A,0.40138953461861276,0.0166186488581568,0.5819918165232305
ARE,Real Estate,A,0.3250373810697485,0.1826344611891465,0.49232815774110505
AROC,Energy,A,0.3151922143547611,0.2625751248583412,0.4222326607868977
ARR,Real Estate,A,0.32460246999505066,0.06862321167820729,0.606774318326742
ASA,Financial Services,A,0.09536377301545065,0.0723016820496062,0.8323345449349432
ASB,Financial Services,A,0.6026498717738931,0.21217776402494096,0.18517236420116598
ASML,Technology,A,0.3063239362085471,0.3286248241410609,0.36505123965039205
ASND,Healthcare,A,0.07311638874814474,0.13203570044375323,0.794847910808102
ASYS,Technology,A,0.0726241199724806,0.06311563299722933,0.86426024703029
ATEN,Technology,A,0.15914701116109164,0.06409793792674315,0.7767550509121652
ATI,Industrials,A,0.3316136527094562,0.07795827584388042,0.5904280714466634
ATNI,Communication Services,A,0.10360622865309314,0.02799793622580225,0.8683958351211046
ATR,Healthcare,A,0.31809102986502213,0.00251070974417024,0.6793982603908076
ATRC,Healthcare,A,0.22264471192349697,0.07997557733917524,0.6973797107373277
ATRO,Industrials,A,0.22169658937714382,0.03760568305648781,0.7406977275663683
AUPH,Healthcare,A,0.08258195839235864,0.10949801263823893,0.8079200289694025
AVA,Utilities,A,0.1451690181662183,0.4443788018330647,0.410452180000717
AVB,Real Estate,A,0.34917809508675596,0.32805132165161094,0.32277058326163305
AVGO,Technology,A,0.2023797666948291,0.34758030305396237,0.4500399302512086
AVNS,Healthcare,A,0.19099777261309447,0.02140499119089003,0.7875972361960155
AVNT,Basic Materials,A,0.622937401096966,0.0024255949052401343,0.3746370039977938
AVT,Technology,A,0.4393079861481263,0.049878658344964834,0.5108133555069089
AWK,Utilities,A,0.08524291877774356,0.4998458003742723,0.4149112808479841
AXON,Industrials,A,0.1348175066126675,5.251391828747819e-05,0.8651299794690449
AXS,Financial Services,A,0.23837957865659304,0.02382926257562958,0.7377911587677775
AZN,Healthcare,A,0.08328944644503938,0.08384887974900918,0.8328616738059516
AZO,Consumer Cyclical,A,0.10574173885695501,0.006882519985542374,0.8873757411575026
BA,Industrials,A,0.3177512075191147,0.004560496721189089,0.6776882957596962
BABA,Consumer Cyclical,A,0.11250777458126668,0.002424882868721879,0.8850673425500114
BAH,Industrials,A,0.07941152662309768,5.151770753436336e-06,0.9205833216061489
BANC,Financial Services,A,0.5166877387256296,0.16284147125109918,0.3204707900232713
BANF,Financial Services,A,0.4237758026900739,0.265276255731828,0.310947941578098
BAP,Financial Services,A,0.19265319990734386,0.0052386361931362245,0.8021081638995199
BBAR,Financial Services,A,0.1091448406739937,0.0082105678859543,0.882644591440052
BBD,Financial Services,A,0.11491416699263957,0.0016534419305766254,0.8834323910767838
BBSI,Industrials,A,0.2557298549586516,0.006195522325083144,0.7380746227162653
BBW,Consumer Cyclical,A,0.12925101168332284,0.05747707008679862,0.8132719182298785
BBWI,Consumer Cyclical,A,0.3051639960806138,0.08813336054012649,0.6067026433792597
BCC,Basic Materials,A,0.4357268102103127,0.0013772898535646344,0.5628958999361227
BEN,Financial Services,A,0.5210275466626076,0.00015178477424062137,0.47882066856315175
BFAM,Consumer Cyclical,A,0.16092711949945027,2.7234165804792842e-05,0.839045646334745
BFH,Financial Services,A,0.4681340404904031,0.02892198043582569,0.5029439790737712
BFS,Real Estate,A,0.4390725041895122,0.15534197263773605,0.40558552317275165
BG,Consumer Defensive,A,0.15354245772237418,0.016632522452591832,0.829825019825034
BGS,Consumer Defensive,A,0.05537769064072555,0.11165361635841702,0.8329686930008575
BHC,Healthcare,A,0.14510549908962508,0.02886190948947126,0.8260325914209037
BHE,Technology,A,0.36069765863003816,0.065437427531273,0.5738649138386889
BHF,Financial Services,A,0.39733277613096474,0.017327787028461016,0.5853394368405742
BIDU,Communication Services,A,0.12233109333646328,0.265055810153516,0.6126130965100207
BKD,Healthcare,A,0.15378307832957053,0.0042904759277333955,0.8419264457426962
BKH,Utilities,A,0.19965630121303898,0.4664697432459713,0.3338739555409897
BKNG,Consumer Cyclical,A,0.3103315429508563,0.005037068396212586,0.6846313886529312
BLBD,Industrials,A,0.1645006509175596,0.014430069309785075,0.8210692797726553
BLDR,Industrials,A,0.428946239112083,0.032022823784657845,0.5390309371032591
BLK,Financial Services,A,0.566873384620816,0.009322081666913945,0.42380453371227
BLMN,Consumer Cyclical,A,0.2585710131970316,0.06394819217731716,0.6774807946256513
