group,panel,grouping,market_mean_corr,size,mean_corr,top_eig,top_eig_share,n_signal,sigma2,lam_plus,p_mean_corr,null_mean_mean_corr,null_std_mean_corr,p_top_eig_share,null_mean_top_eig_share,null_std_top_eig_share,p_n_signal,null_mean_n_signal,null_std_n_signal
Basic Materials,raw,sector,0.23112271363918832,48,0.30130589572883787,15.7882273018867,0.32892140212267884,41,0.09473634314911453,0.13369125263446402,0.006644518272425249,0.23063970311030602,0.020138612785024178,0.006644518272425249,0.2664290105936859,0.020752373967151242,0.07308970099667775,36.72666666666667,2.2809276604478734
Communication Services,raw,sector,0.23112271363918832,43,0.21633474739672318,10.568146468079558,0.2457708480949025,32,0.28107248254167744,0.3899596151858977,0.8039867109634552,0.2301916691485232,0.01772964989035925,0.8903654485049833,0.267824967328045,0.018206876797673965,0.7408637873754153,33.04666666666667,2.263086555587854
Consumer Cyclical,raw,sector,0.23112271363918832,91,0.2988470315275587,29.249741088179125,0.32142572624376536,67,0.11184954050570628,0.17722531459219876,0.0033222591362126247,0.23135112098812494,0.014237650994138136,0.0033222591362126247,0.26069248306998116,0.015113776395008452,0.5880398671096345,66.94333333333333,1.9198284715279088
Consumer Defensive,raw,sector,0.23112271363918832,36,0.1996601388271676,8.777764122752469,0.24382678118759726,26,0.27829259300877357,0.3762531023683648,0.9368770764119602,0.2315010510197062,0.023055918122940326,0.9069767441860465,0.27246805255785944,0.023317399684094808,0.8737541528239202,27.85,2.1640495299075244
Energy,raw,sector,0.23112271363918832,43,0.38719673345596095,18.091555684792425,0.42073385313475936,42,0.019548134789911815,0.027121058067809022,0.0033222591362126247,0.2301916691485232,0.01772964989035925,0.0033222591362126247,0.267824967328045,0.018206876797673965,0.006644518272425249,33.04666666666667,2.263086555587854
Financial Services,raw,sector,0.23112271363918832,165,0.41157941265146636,74.28885739480609,0.4502354993625153,115,0.04430842602593033,0.08056599354327458,0.0033222591362126247,0.23157755755535783,0.009735646789579517,0.0033222591362126247,0.25768436589710164,0.01022421275561515,0.12292358803986711,112.48,1.7606626906843608
Healthcare,raw,sector,0.23112271363918832,111,0.19059742387222592,23.134526656568212,0.20841915906820646,76,0.14294593114276138,0.23632735230450527,1.0,0.23150172176567524,0.012366753268582074,1.0,0.2594401550454198,0.012874213841702205,0.9966777408637874,80.00666666666666,1.7617134661112785
Industrials,raw,sector,0.23112271363918832,110,0.30705435897670547,36.473692615228785,0.3315790237748468,79,0.10463475082428146,0.17264185178791788,0.0033222591362126247,0.23117536934758595,0.012132148157345535,0.0033222591362126247,0.25940868733311623,0.012414650078847999,0.6910299003322259,79.46,1.921990328472668
Real Estate,raw,sector,0.23112271363918832,62,0.42793467565420723,27.640046356565833,0.44580719929950285,45,0.10539002213922082,0.15521915139703982,0.0033222591362126247,0.2325397226946183,0.017637792961299085,0.0033222591362126247,0.2655091585106683,0.01820472690128365,0.8372093023255814,46.64,2.1999695954116696
Technology,raw,sector,0.23112271363918832,117,0.32102848114377436,39.66190406370454,0.3389906330231555,86,0.08703158516872818,0.14559722047875134,0.0033222591362126247,0.23035883653655256,0.012800867122206981,0.0033222591362126247,0.2579869381537532,0.013333347200879678,0.1893687707641196,83.82,1.8508607777812727
Utilities,raw,sector,0.23112271363918832,27,0.36358213860666844,11.193791271555385,0.41458486190950977,20,0.1933858117650221,0.2517442622416169,0.0033222591362126247,0.2275233395606212,0.02426278177631953,0.0033222591362126247,0.2751452389407481,0.024599968112268417,0.7508305647840532,20.976666666666667,1.9584621865149499
cap_large,raw,cap,0.23112271363918832,284,0.23698570566439303,73.48902858723457,0.25876418516634964,163,0.04612443042038255,0.09793404962272566,0.17275747508305647,0.23083398581469297,0.006776608951428654,0.29900332225913623,0.2552042991395018,0.007136881627366876,0.9335548172757475,165.29666666666665,1.8957765651147682
