panel,labels,k_requested,k,ari,p
unaligned,sector,auto,2,0.00026924656703816236,0.2653673163418291
unaligned,sector,11,11,0.04043307352783564,0.0004997501249375312
unaligned,cap,auto,2,-1.6492464365047544e-05,1.0
unaligned,cap,3,3,-1.643391141709925e-05,0.8580709645177411
aligned,sector,auto,2,-0.00040436498011791076,1.0
aligned,sector,11,11,0.042544469731942695,0.0004997501249375312
aligned,cap,auto,2,-5.497488335016939e-06,1.0
aligned,cap,3,3,-1.0988539063706622e-05,1.0
minus_global_pc1,sector,auto,8,0.19358085052096624,0.0004997501249375312
minus_global_pc1,sector,11,11,0.19417467203694935,0.0004997501249375312
minus_global_pc1,cap,auto,8,0.0277855617615966,0.0004997501249375312
minus_global_pc1,cap,3,3,0.028635617931703723,0.0004997501249375312
