ticker,shift,sector,cap_bucket,market_cap
A,0,Healthcare,large,38410000000.0
AA,0,Basic Materials,large,14280000000.0
AAOI,0,Technology,mid,10890000000.0
AAON,0,Industrials,mid,10380000000.0
AAP,0,Consumer Cyclical,mid,3750000000.0
AAT,0,Real Estate,small,1950000000.0
ABBV,0,Healthcare,large,447620000000.0
ABEO,0,Healthcare,small,319740000.0
ACAD,0,Healthcare,mid,4340000000.0
ACHC,0,Healthcare,mid,2520000000.0
ACIW,0,Technology,mid,5010000000.0
ACM,0,Industrials,mid,9130000000.0
ACMR,0,Technology,mid,7220000000.0
ACN,0,Technology,large,78930000000.0
ADC,0,Real Estate,mid,9260000000.0
ADP,0,Technology,large,89360000000.0
ADSK,0,Technology,large,41440000000.0
AEHR,0,Technology,mid,2890000000.0
AEM,0,Basic Materials,large,78620000000.0
AER,0,Industrials,large,23470000000.0
AES,0,Utilities,mid,10460000000.0
AFG,0,Financial Services,large,11560000000.0
AFL,0,Financial Services,large,61150000000.0
AGI,0,Basic Materials,large,13050000000.0
AGO,0,Financial Services,mid,3530000000.0
AGX,0,Industrials,mid,10730000000.0
AHRT,0,Real Estate,small,717070000.0
AIG,0,Financial Services,large,40070000000.0
AIR,0,Industrials,mid,5620000000.0
AIV,0,Real Estate,small,454190000.0
AJG,0,Financial Services,large,58070000000.0
ALB,0,Basic Materials,large,15770000000.0
ALLT,0,Technology,small,382090000.0
ALLY,0,Financial Services,large,14460000000.0
ALNT,0,Technology,small,1660000000.0
ALNY,0,Healthcare,large,38900000000.0
ALRM,0,Technology,small,2290000000.0
ALSN,0,Consumer Cyclical,mid,9940000000.0
ALV,0,Consumer Cyclical,mid,8920000000.0
AMAT,0,Technology,large,497690000000.0
AMBA,0,Technology,mid,2730000000.0
AMC,0,Communication Services,small,1930000000.0
AMD,0,Technology,large,850490000000.0
AMH,0,Real Estate,large,14000000000.0
AMN,0,Healthcare,small,1270000000.0
AMPH,0,Healthcare,small,960340000.0
AMRN,0,Healthcare,small,333620000.0
AMT,0,Real Estate,large,81810000000.0
AN,0,Consumer Cyclical,mid,6410000000.0
ANAB,0,Healthcare,small,1840000000.0
ANET,0,Technology,large,198450000000.0
ANF,0,Consumer Cyclical,mid,4070000000.0000005
AON,0,Financial Services,large,70200000000.0
AORT,0,Healthcare,small,1150000000.0
AOS,0,Industrials,mid,8510000000.0
APAM,0,Financial Services,mid,2880000000.0
APD,0,Basic Materials,large,61860000000.0
APH,0,Technology,large,201410000000.0
APO,0,Financial Services,large,68200000000.0
APPF,0,Technology,mid,5500000000.0
APPN,0,Technology,small,1610000000.0
AQN,0,Utilities,mid,4600000000.0
ARCC,0,Financial Services,large,13060000000.0
ARE,0,Real Estate,mid,9620000000.0
AROC,0,Energy,mid,7350000000.0
ARR,0,Real Estate,small,2140000000.0000002
ASA,0,Financial Services,small,1000000000.0
ASB,0,Financial Services,mid,5120000000.0
ASML,0,Technology,large,692630000000.0
ASND,0,Healthcare,large,16200000000.0
ASYS,0,Technology,small,341810000.0
ATEN,0,Technology,mid,2520000000.0
ATI,0,Industrials,large,26940000000.0
ATNI,0,Communication Services,small,402550000.0
ATR,0,Healthcare,mid,8039999999.999999
