cluster,feature
1,momentum__rsi_short_raw
1,momentum__rsi_short_position
1,momentum__rsi_short_velocity
1,momentum__rsi_short_acceleration
1,momentum__rsi_long_raw
1,momentum__rsi_long_position
1,momentum__rsi_long_velocity
1,momentum__rsi_long_acceleration
1,momentum__rsi_contrast_raw_short_minus_long
1,momentum__rsi_contrast_position_short_minus_long
1,momentum__rsi_contrast_velocity_short_minus_long
1,momentum__rsi_contrast_acceleration_short_minus_long
1,trend__rel6
1,trend__rel104
1,trend__rel12
1,trend__rel52
1,trend__rel26
1,trend__vel6_12
1,trend__vel12_26
1,trend__vel26_52
1,trend__vel52_104
1,trend__acc6_12
1,trend__acc12_26
1,trend__acc26_52
1,trend__acc52_104
1,trend__plus_di
1,volume__price_zvel12_26
1,volume__obv_zvel12_26
1,volume__ad_zvel12_26
1,volume__price_zvel26_52
1,volume__obv_zvel26_52
1,volume__ad_zvel26_52
1,volume__mfi_20_raw
1,volume__cmf_20_raw
1,volume__mfi_20_ema4
1,volume__mfi_20_ema8
1,volume__mfi_20_ema16
1,volume__cmf_20_ema4
1,volume__cmf_20_ema8
1,volume__cmf_20_ema16
1,volume__mfi_20_vel4_8
1,volume__mfi_20_vel8_16
1,volume__cmf_20_vel4_8
1,volume__cmf_20_vel8_16
1,candle__body_log
1,candle__gap_log
2,trend__adx
2,trend__minus_di
2,volatility__vol7
2,volatility__vol_park7
2,volatility__vol_rs7
2,volatility__vol20
2,volatility__vol_park20
2,volatility__vol_rs20
2,volatility__vol100
2,volatility__vol_park100
2,volatility__vol_rs100
2,volatility__bb_bandwidth
2,volatility__atr_norm
2,candle__body_size
2,candle__range_log
2,candle__skew_log
