cluster,feature
1,volume__ad_zvel12_26
1,volume__ad_zvel26_52
1,volume__cmf_20_raw
1,volume__cmf_20_ema4
1,volume__cmf_20_ema8
1,volume__cmf_20_ema16
2,momentum__rsi_short_raw
2,momentum__rsi_long_position
2,momentum__rsi_long_velocity
2,trend__rel12
2,trend__rel26
2,trend__vel6_12
2,trend__acc26_52
2,trend__plus_di
2,volume__price_zvel12_26
2,volume__obv_zvel12_26
3,momentum__rsi_long_raw
3,trend__rel104
3,trend__rel52
3,trend__vel12_26
3,trend__vel26_52
3,trend__vel52_104
3,trend__acc52_104
3,volume__price_zvel26_52
3,volume__obv_zvel26_52
3,volume__mfi_20_raw
3,volume__mfi_20_ema4
3,volume__mfi_20_ema8
3,volume__mfi_20_ema16
4,momentum__rsi_long_acceleration
4,trend__rel6
4,trend__acc6_12
4,candle__body_log
4,candle__gap_log
5,volume__mfi_20_vel4_8
5,volume__mfi_20_vel8_16
5,volume__cmf_20_vel4_8
5,volume__cmf_20_vel8_16
6,momentum__rsi_short_position
6,momentum__rsi_short_velocity
6,momentum__rsi_short_acceleration
6,momentum__rsi_contrast_raw_short_minus_long
6,momentum__rsi_contrast_position_short_minus_long
6,momentum__rsi_contrast_velocity_short_minus_long
6,momentum__rsi_contrast_acceleration_short_minus_long
6,trend__acc12_26
7,trend__adx
7,volatility__vol7
7,volatility__vol_park7
7,volatility__vol_rs7
7,volatility__vol20
7,volatility__vol_park20
7,volatility__vol_rs20
7,volatility__vol100
7,volatility__vol_park100
7,volatility__vol_rs100
7,volatility__bb_bandwidth
7,volatility__atr_norm
7,candle__body_size
7,candle__range_log
8,trend__minus_di
9,candle__skew_log
