cluster,feature
1,momentum__rsi_short_position
1,momentum__rsi_short_velocity
1,momentum__rsi_short_acceleration
1,momentum__rsi_long_acceleration
1,momentum__rsi_contrast_raw_short_minus_long
1,momentum__rsi_contrast_position_short_minus_long
1,momentum__rsi_contrast_velocity_short_minus_long
1,momentum__rsi_contrast_acceleration_short_minus_long
1,trend__acc6_12
1,trend__acc12_26
1,volume__mfi_20_vel4_8
1,volume__cmf_20_vel4_8
1,volume__cmf_20_vel8_16
2,momentum__rsi_short_raw
2,momentum__rsi_long_raw
2,momentum__rsi_long_position
2,momentum__rsi_long_velocity
2,trend__rel6
2,trend__rel104
2,trend__rel12
2,trend__rel52
2,trend__rel26
2,trend__vel6_12
2,trend__vel12_26
2,trend__vel26_52
2,trend__vel52_104
2,trend__acc26_52
2,trend__acc52_104
2,trend__plus_di
2,volume__price_zvel12_26
2,volume__obv_zvel12_26
2,volume__ad_zvel12_26
2,volume__price_zvel26_52
2,volume__obv_zvel26_52
2,volume__ad_zvel26_52
2,volume__mfi_20_raw
2,volume__cmf_20_raw
2,volume__mfi_20_ema4
2,volume__mfi_20_ema8
2,volume__mfi_20_ema16
2,volume__cmf_20_ema4
2,volume__cmf_20_ema8
2,volume__cmf_20_ema16
2,volume__mfi_20_vel8_16
3,candle__body_log
4,volatility__vol7
4,volatility__vol_park7
4,volatility__vol_rs7
4,volatility__vol20
4,volatility__vol_park20
4,volatility__vol_rs20
4,volatility__vol100
4,volatility__vol_park100
4,volatility__vol_rs100
4,volatility__bb_bandwidth
4,volatility__atr_norm
4,candle__range_log
5,trend__adx
6,candle__gap_log
7,candle__body_size
8,trend__minus_di
9,candle__skew_log
