variant,causal,horizon,split,n_features,mean_abs_ic,mean_abs_icir,top5_mean_abs_icir,n_sig_t2,best_feature,best_icir,n_signal,lam_plus,top_eig_share
ssa+none,False,1,train,62,0.06661319716369933,0.3899002661349651,1.0090862462807129,60,trend__rel6,1.2259357562717923,6,1.3582,0.3154
ssa+hpca,False,1,train,23,0.05151194514616643,0.3202507637227175,0.7211359390181016,22,hpc6_pc1,0.8206441885283896,7,1.2116,0.1153
ssa+zca,False,1,train,62,0.02461147807023228,0.163083941924358,0.6667041463118308,43,trend__acc6_12,0.8985848321180925,0,1.3582,0.0161
ssa+pca,False,1,train,15,0.044020156978335744,0.2785057724752162,0.528087859568233,13,pc3,0.6171968769754637,0,1.1693,0.0667
raw+none,True,1,train,62,0.0077182734537288725,0.041727812227586154,0.09782654782092641,30,candle__skew_log,0.1472079249751759,7,1.3582,0.3006
demean,True,1,train,62,0.0077182734537288725,0.041727812227586154,0.09782654782092641,30,candle__skew_log,0.1472079249751759,7,1.3582,0.291
volnorm_cs,True,1,train,62,0.0077182734537288725,0.041727812227586154,0.09782654782092641,30,candle__skew_log,0.1472079249751759,7,1.3582,0.3006
demean+zca,True,1,train,62,0.0038931428971122044,0.025022270177645484,0.09194428959408565,13,candle__skew_log,0.1577274027555533,6,1.3582,0.0453
raw+zca,True,1,train,62,0.0038263343809082358,0.02480904166389778,0.08918497362847175,11,candle__skew_log,0.15405747201142037,6,1.3582,0.0453
raw+hpca,True,1,train,20,0.006663347256915711,0.04062126816854279,0.08808005271883526,7,hpc2_pc9,0.13764012975195908,3,1.1967,0.0924
demean+hpca,True,1,train,22,0.006732771255631547,0.04102243289307977,0.08645522079703337,9,hpc1_pc9,-0.11986067726516027,2,1.2067,0.0834
signal+demean,True,1,train,62,0.00831955552970098,0.04355463687255362,0.08512730710409233,35,candle__body_log,-0.09072776119763808,7,1.3582,0.3572
raw+pca,True,1,train,20,0.0062239390397344704,0.03843023157574632,0.0823615549109305,8,pc14,0.13734254927700712,0,1.1967,0.05
kalman+none,True,1,train,62,0.007028531380914006,0.0375258072629228,0.07498315086628994,28,trend__rel6,-0.08966387044626432,8,1.3582,0.3045
kalman+zca,True,1,train,62,0.003847501786468118,0.025423433993395368,0.06838532111266897,13,trend__rel6,-0.09948160979211344,5,1.3582,0.0453
signal+demean+hpca,True,1,train,19,0.006828418679080701,0.038811099920146516,0.06741211034686814,8,hpc6_pc1,-0.09242096633161101,6,1.1915,0.3033
kalman+hpca,True,1,train,20,0.004931314082609976,0.02952051140421887,0.06196595236203859,5,hpc2_pc6,0.09612098760868867,3,1.1967,0.0925
kalman+pca,True,1,train,16,0.004462136026525461,0.02635437657379404,0.05745361164306413,4,pc7,-0.0833853641293957,0,1.1751,0.0625
ssa+none,False,5,train,62,0.0996260045093306,0.5984273023339391,1.886216329430411,50,trend__rel6,2.5441252631857076,6,1.3582,0.3154
ssa+zca,False,5,train,62,0.05096508580484813,0.32711740884915613,1.3986524948149035,43,trend__rel6,2.278302671464313,0,1.3582,0.0161
ssa+hpca,False,5,train,23,0.09175418486380575,0.5786912752632685,1.26107174066891,20,trend__minus_di,-1.4144449712454898,7,1.2116,0.1153
ssa+pca,False,5,train,15,0.08098723318051118,0.5234495742727442,0.9686402499512662,14,pc11,-1.137843808505521,0,1.1693,0.0667
signal+demean,True,5,train,62,0.011270432858659809,0.06403879723154149,0.11898402727871198,19,volume__ad_zvel12_26,-0.12873377144486214,7,1.3582,0.3572
raw+none,True,5,train,62,0.010239168549764229,0.059700224570917886,0.1118827386930239,12,volume__ad_zvel12_26,-0.12296837637246076,7,1.3582,0.3006
demean,True,5,train,62,0.010239168549764229,0.059700224570917886,0.1118827386930239,12,volume__ad_zvel12_26,-0.12296837637246076,7,1.3582,0.291
volnorm_cs,True,5,train,62,0.010239168549764229,0.059700224570917886,0.1118827386930239,12,volume__ad_zvel12_26,-0.12296837637246076,7,1.3582,0.3006
kalman+none,True,5,train,62,0.010158819387106839,0.05907301680106687,0.11067725290584718,11,volume__ad_zvel12_26,-0.12296837637246076,8,1.3582,0.3045
demean+zca,True,5,train,62,0.005840447514984912,0.038706779176314626,0.10521666051225212,3,trend__acc52_104,-0.12242332534866676,6,1.3582,0.0453
raw+zca,True,5,train,62,0.00568084070599344,0.03792327370751808,0.10305282176786734,4,trend__acc52_104,-0.12482851976127622,6,1.3582,0.0453
